userId,age,province,gender,password
6334846741,59,澳,男,34Ca8i33Pg6Sq5Ht18d8Tt3
696293581478,30,鲁,女,d576Pe09m4
996168273281,41,贵,男,s522l0e686909Qa9
239154364827,41,青,女,j9l28Ju2y96
74212382292,38,晋,女,81Bd31Rl18q6c0Bh5Jc864
477117265447,39,藏,男,6997x77p4e3g85
703562995667,22,宁,男,Nw963Db35h2
76733331322,44,琼,男,x4Jr9q8850So2u7
554768688253,57,辽,男,Lk8Jy2w3Dn37Hv0c46k5
8723285937,27,津,男,84a7Cs3x0Tj6o8Tc9o4
219030352316,24,贵,女,e3Zw829l27y1o1i6
926489429040,51,闽,女,p0w61d9Xu4j4o7Ve6a82w92
437067295890,28,吉,女,g3Od4z8i7u00Pm5i6Db5w8Sg58
962935484393,47,黑,女,2Re7z1a9Dl82Dq4r80
496618408756,62,闽,男,q8Fk3Wk3c06t4f3c2Qg02
462624396944,52,京,女,Ss031433Ae65r0Ea6
292920826118,22,粤,男,Kz5h749r16Pu3
270496584639,19,青,女,Wi4Ck9m20Qt4p32n7
502123861673,52,晋,男,Hf92q4Gs2i81
677758296270,47,黑,男,Jh5758Wn7Gc0
916132903986,33,青,男,Fg2t8Uc635g0Cg7m55Zm0
403155743655,57,粤,男,9Bq47386Wb37Vb81h4
396617246941,23,内,男,Xb8896Fv8450Bu42t1
545713378007,42,鄂,男,w9z381Nw6d7Rv9k7w72z6
220989094945,43,港,男,s90Gg4Sy4Sb8v5
750649466422,45,港,男,Es43Th2El8e81Nx0
87622591900,18,云,男,o0e9d1p511
